,url,title,date,source,article,indexno,doc_no,category,region
0,http://credit.huadian.gov.cn/xydt/bddt/202305/t20230522_2362198.html,桦甸市医保局开展加强医保诚信共筑基金安全诚信宣传活动,2023-05-22,信用桦甸市,医保基金是人民群众的“看病钱”“救命钱”，为进一步加强医疗保障基金监管，结合信用体系建设活动，桦甸市医疗保障局通过开展医保基金监管集中宣传月活动，进一步加强医保诚信宣传，强化失信惩戒意识，营造“不想骗、不敢骗、不能骗”的良好社会氛围。为抓好诚信主体责任落实，市医保局组织全市共200余家定点医疗机构和定点零售药店签订了医疗保障基金监管《信用承诺书》，确保严格遵守各项法律法规，促使其在提供医疗服务过程中，全面履行应尽诚信服务的责任和义务，严厉打击欺诈骗保行为，合理合规使用医保基金，正确执行医保政策，不断强化法治意识和诚实守信意识。,,,,吉林省
1,http://credit.jlbc.gov.cn/xygs/cxjswlx/cxjswlx/202303/t20230314_2279800.html,诚信万里行诚信宣传走进医保定点医院,2023-03-14,信用白城市,,,,,吉林省
2,http://credit.jlsy.gov.cn/hyxy/hyxx/202305/t20230517_2359629.html,安徽天长医保信用助力打造医保基金精准监管,2023-05-17,信用松原市,为进一步发挥信用在创新监管机制、提高监管能力方面的基础性作用，安徽省天长市医保局通过医保信用体系的联合激励和联合惩戒措施，创新信用监管模式、提高监管效能，增强医药机构、医护人员等信用主体的行业自律和自我约束，从而在更广泛的领域建立起医保基金监管的安全网。强化信用约束，坚持高效联动。坚持制度化，以定点医药机构、医保医师、参保人等为信用主体，探索建立医保基金监管信用评价相关标准、规范指标体系，明确评估内容、评估指标、扣分标准和信用等级分类管理措施，形成行政执法、协议管理和信用管理“三位一体”的监管模式。建立健全部门联动工作机制，全面推行联合“双随机、一公开”监管，并在市政府网站及时公示检查结果；对日常行政处罚信息及时上报市信用办，联合卫健、市场等部门将信用信息纳入信息共享数据库，建立信用评价结果部门间共享交换和互认机制。突出数字赋能，用好精密智控。借助医保智能监管信息平台，用好数字化、信息化、智慧化等手段，系统收集医保数据，通过大数据分析，靶向发现疑点数据、疑似问题，线下组织人员稽查核实，及时移交医保部门共同查处。与全市380家定点医药机构、1240名医保医师、1108名医保护士、368名医保药师签订《医保信用承诺书》，将医保信用主体的信用记录作为医保业务经办事项中的一个重要考核依据，对信用良好的树立先进典型，形成示范带动作用；对有不良信用记录的，在总体评分中予以信用减分；对涉嫌骗保犯罪的失信个人，纳入黑名单管理。坚持分级分类，实现精准监管。强化事前、事中、事后监管，健全信用承诺制度，开展经营者准入前诚信教育；完善医保信用管理办法，明确了信息归集、信用评价、信用公示、信用修复、守信激励与失信惩戒等主要事项；根据监管对象不同信用状况实行差别化监管措施，对信用状况好、风险小的“两定”医药机构，合理降低抽查比例和频次；对信用状况一般的，执行常规抽查比例和频次；对存在失信行为、风险高的，提高抽查比例和监管频次。通过分级分类监管有效提升监管效能，维护公平竞争，做到“守信不扰、失信制约”。 ,,,,吉林省
3,http://credit.taonan.gov.cn/xydt/sndt/202305/t20230529_2372217.html,洮南市医疗保障局开展诚信医保主题宣传活动,2023-05-29,信用洮南,为加强社会信用体系建设宣传教育，持续推进全市诚信文化建设，增强广大居民诚信意识和信用水平，营造诚实、守信、自律、互信的社会氛围。4月18日，洮南市医疗保障局组织开展了以“诚信医保”为主题的宣传活动。市医保局工作人员通过悬挂条幅、现场为参保群众讲解医保政策，利用电子屏滚动播放医疗保障领域违法违规和欺诈骗保行为，重点曝光欺诈骗保典型案例，以及欺诈骗取医疗保障基金行为举报投诉渠道及举报奖励办法，引导定点医药机构和广大参保群众共同构建和谐的社会环境，铸造诚信的医保体系。本次活动，发放宣传页、宣传手册、宣传手提袋、宣传台历等资料共300余份，营造了“诚信医保、人人有责”“打击欺诈骗保、维护基金安全”的良好社会舆论氛围。,,,,吉林省
4,http://www.helong.gov.cn/hlszfxxgkw/gzbm/ybj/zfxxgkml_9576/202305/t20230522_419289.html,截止2023年4月末医疗保险和生育保险城乡居民保险主要指标,2023-05-05,和龙市人民政府,指标名称 单位 本期 一、基金收入 职工基本医疗保险（含生育保险）万元 3097 城乡居民基本医疗保险 万元 3579 二、基金支出 职工基本医疗保险（含生育保险） 万元 1912 其中：生育保险待遇支出万元57 城乡居民基本医疗保险 万元 1023 三、基金累计结余 职工基本医疗保险（含生育保险）万元 7557 城乡居民基本医疗保险 万元 3062, 11222406MB1878886X/2023-05642,, 医保经办服务;其他,吉林省
5,http://www.hunchun.gov.cn/hcszfxxgkw/gzbm/cyqguosj/xxgkml/202305/t20230511_418090.html,珲春市医疗保险经办中心2023年部门预算,2023-05-11,珲春市人民政府,根据政府信息公开工作要求，现将珲春市医疗保险经办中心2023年部门预算情况进行公开。, 11222404MB1631090B/2023-05010,, 财政预决算;其他,吉林省
6,http://www.jl.gov.cn/ggzy/zfcg/cggg/202305/t20230526_8715643.html,吉林市社会医疗保险管理局购置20232025年度城镇职工大额医疗保险服务项目招标公告,2023-05-26,吉林省公共资源交易公共服务平台,"一、项目基本情况 招标编号：JSZFCG—J2023ZX017 项目名称：吉林市社会医疗保险管理局购置2023-2025年度城镇职工大额医疗保险服务项目。预算金额：本项目的采购预算为190800000元(三年预算）（投标保证金人民币1900000元）（投标保证金缴存截止时间：2023年6月19日9时10分止），不接受超出采购预算的报价。 采购需求：购置2023-2025年度城镇职工大额医疗保险服务（具体内容请下载招标文件及投标报价明细表）。合同履行期限：按招标文件规定时间履行。 本项目接受联合体投标。二、申请人的资格要求： 1.满足《中华人民共和国政府采购法》第二十二条规定且未被列入失信被执行人、重大税收违法案件当事人名单、政府采购严重违法失信行为记录名单（通过“信用中国”网站www.creditchina.gov.cn或中国政府采购网www.ccgp.gov.cn查询）； 2.落实政府采购政策需满足的资格要求：本项目非预留份额专门面向中小企业采购的采购项目（如属于专门面向中小企业采购的项目，供应商应为中小微企业、监狱企业、残疾人福利性单位）。3.本项目的特定资格要求：如属于特定行业项目,供应商应当具备特定行业法定准入要求。 三、获取招标文件 时间： 2023年5月26日至2023年6月2日，每天上午8:30至11:30，下午13:00至16:30（北京时间，法定节假日除外）。地点：ggzy.jlcity.gov.cn 方式：免费下载。 售价：0元。 四、提交投标文件截止时间、开标时间和地点 2023年6月19日9时10分（北京时间）（上传投标文件截止时间及开标时间）。 地点：吉林市公共资源交易中心703。五、公告期限 自本公告发布之日起5个工作日。六、其他补充事宜 1.拟参与本项目的供应商，一律在吉林市公共资源交易网（ggzy.jlcity.gov.cn）进行网上报名，不接受现场报名。请尚未办理入库的供应商按照吉林市公共资源交易网“关于交易主体办理入库手续的相关要求”及时办理入库手续。 2.本项目采取资格后审，供应商根据免费下载的招标文件内容决定是否参与投标，如确定参与投标，须在规定的报名截止时间前，在吉林市公共资源交易网（ggzy.jlcity.gov.cn）本项目报名界面点击“新增报名”，并于本项目投标截止时间前按招标文件中规定的方式缴存或提交投标保证金（保证金到账或保函提交截止时间），未按上述要求办理的，开标时一律按无效投标处理。3.已经点击“新增报名”而未按规定缴存保证金，或缴存保证金后无故未参与投标的供应商，将按照相关规定予以处罚。4.对招标文件有质疑或需要澄清的应以书面材料提交，采购中心和采购人将根据各供应商提出的问题以书面形式予以答复，口头提交的问题不予答复。5.本项目采取网上招标、网上投标和远程不见面开标，具体要求详见招标文件。6.吉林市公共资源交易网供应商办理入库联系方式 联系方式：刘超（0432）64820009 办公地址：吉林市解放西路16号，吉林市公共资源交易中心601室 信息发布（录入）中心 办公时间：每周一至周五上午8:30-11:30 ，下午13:00-16:30，节假日除外。七、对本次招标提出询问，请按以下方式联系。1.采购人信息 名 称：吉林市社会医疗保险管理局 地址：吉林大街128-1号 联系方式：杨宁    0432-62489836 2.采购代理机构信息 名 称：吉林市政府采购中心 地 址：吉林市公共资源交易中心909、910室（解放西路16号）联系方式：（0432）62048505、63688356 3.项目联系方式 项目联系人：李国军、李丽新、王军、闫明洋 电　话：（0432）62048505、63688356　 ",,,,吉林省
7,http://www.jl.gov.cn/ggzy/zfcg/cggg/202305/t20230529_8716056.html,洮南市退役军人事务局部分优抚对象补充医疗保险项目,2023-05-29,吉林省公共资源交易公共服务平台,一、项目基本情况1.政府采购计划编号：项目采购X〔20230518〕-0104号；2.项目名称：洮南市退役军人事务局部分优抚对象补充医疗保险项目；3.采购方式：□竞争性谈判 ?竞争性磋商 □询价；4.预算金额：53万元；5.最高限价：53万元；6.项目需求：将在乡复员军人（1954年10月31日以前入伍）、领取抚恤的一至十级在乡残废军人、享受定期抚恤的三属、享受定期补助的带病回乡退伍军人、企业中没参加医疗保险的残废军人、享受生活补助的两参退役军人、重大癌症优抚对象纳入补充医疗保险（约582人）。（具体事项详见磋商文件）；7.服务期限：一年，若涉及理赔服务，则保险服务期限自所有理赔服务完成时截止；8.报销时限：接到保单之日起，10个工作日内报销完毕；9.本项目不接受联合体投标。二、申请人的资格要求：1.满足《中华人民共和国政府采购法》第二十二条规定；2.《政府采购促进中小企业发展管理办法》（财库〔2020〕46号）、《关于进一步加大政府采购支持中小企业力度的通知》（财库〔2023〕19号）、《关于政府采购支持监狱企业发展有关问题的通知》（财库〔2014〕68号）、《关于促进残疾人就业政府采购政策的通知》（财库〔2017〕141号）本项目专门面向中小企业采购；3. 需提供经第三方会计师事务所审计的完整有效的企业财务报告，提供本年上两个年度的上述材料；4.提供投标截止日前一年内任一月份的缴税凭据或完税证明；依法免税的，应提供相应文件证明其依法免税；5.具有中国银行保险监督管理委员会颁发的经营保险业务许可证（经营范围包含意外伤害保险、短期健康保险业务）并具有在吉林省行政辖区经营保险业务资格的财产险省级或下属公司；6.当地设立机构的财险公司（洮南市城内有办公地点，需提供洮南市本地分支机构营业执照）；7.拒绝列入政府取消投标资格记录期间的企业或个人投标； 8. 投标人未在“信用中国”网站（www.creditchina.gov.cn）、中国政府采购网（www.ccgp.gov.cn）等渠道列入失信被执行人、重大税收违法失信主体、政府采购严重违法失信行为记录名单；9.与采购人存在利害关系可能影响招标公正性的法人、其他组织或者个人，不得参加投标。单位负责人为同一人或者存在控股、管理关系的不同单位，不得参加同一标段投标或者未划分标段的同一招标项目投标。违反规定的，相关投标均无效。三、获取采购文件1.时间：2023年5月29日-2023年6月2日，全天；2.地点：洮南市公共资源交易平台； 3.方式：在白城电子投标交易平台（网站http://ggzy.jlbc.gov.cn/TPBidder）注册、在（http://www.ggzyjltn.cn:1015/TPBidder/memberLogin）网上直接免费下载磋商文件，其他途径获取的磋商文件开标时一律按无效标处理；4.售价：0元。四、响应文件提交 1.截止时间：2023年6月12日14时30分（北京时间）；2.地点：洮南市公共资源交易中心（洮南市民生大厦南栋二楼西侧）。五、开启 1.时间：2023年6月12日14时30分（北京时间）；2.地点：洮南市公共资源交易中心（洮南市民生大厦南栋二楼西侧）。六、公告期限 自本公告发布之日起5个工作日。七、其他补充事宜本次公告在中国政府采购网、吉林省公共资源交易公共服务平台、白城市公共资源交易平台同时发布。八、凡对本次采购提出询问，请按以下方式联系。1.采购人信息 名    称：  洮南市退役军人事务局　　　 地    址：  洮南市司法局办公楼 联系方式：  0436- 2.采购代理机构信息 名    称：  洮南市政府采购中心　   　　　　　　　　　　　 地　　址：　洮南市财政局5  联系方式：  吴永杰　0436-6226097 3.项目联系方 项目联系人 电　　  话： 0436-6256125 4.监督管理部门：洮南市政府采购管理办公室    电     话：0436-6236423,,,,吉林省
8,http://www.jl.gov.cn/ggzy/zfcg/zbgg/202305/t20230522_8712333.html,原迁移民补充住院医疗保险服务中标公示,2023-05-19,吉林省公共资源交易公共服务平台,"一、项目编号：JLHM-JA-2023-19 二、项目名称：原迁移民补充住院医疗保险服务三、中标（成交）信息 供应商名称：安华农业保险股份有限公司通化中心支公司 供应商地址：通化市东昌区滨江南路瑞江豪城1-12幢1-16号1-3层 中标（成交）金额：1058000元 四、主要标的信息服务类 名称：原迁移民补充住院医疗保险服务 服务要求：为集安市所有移民乡镇人员购买补充住院医疗保险,投保总人数约5290人（具体人数按签订合同当天为准）。 合同履行期限：合同订立之日起一年 五、评审专家（单一来源采购人员）名单： 马爱光   杜焕   邓士杰   刘江艳   张丽君 六、代理服务收费标准及金额：采购代理机构参照国家发展计划委员会计价【2002】1980号文件招标代理服务费执行国家现行收费标准执行：（1）国家发展计划委员会计价格【2002】1980号文件的收费标准；（2）发改办价格【2003】857号文件的规定；（3）国家发改委发改价格[2015]299号文件的规定。代理费：13000元。七、公告期限 自本公告发布之日起1个工作日。",,,,吉林省
9,http://www.jl.gov.cn/szfzt/2022jlszyzchg/zcsy/jsjf/202301/t20230112_8659443.html,关键词减征缓缴职工基本医疗保险费,2023-01-12,吉林省人民政府网,政策亮点：实行阶段性减征缓缴职工基本医疗保险费政策。各地市级统筹区可在确保基金收支中长期平衡和待遇支付的前提下，根据实际需要，对2022年因受疫情影响实施封闭管理的市（州）、县（市）职工基本医疗保险单位缴费部分实行减半征收。减征时间自2022年5月起，减征时限不超过3个月。职工统筹基金结存可支付月数小于6个月的原则上不实行减征。各地因疫情原因前期已经实行的职工基本医疗保险缓缴政策可继续执行，缓缴时限不超过4个月。缓缴时间可自2022年3月起，最晚截至6月底。减征和缓缴政策可同步实施。,,,,吉林省
